Comparing the logarithm of the execution time of various implementations of efficient sorting algorithms on Ubuntu for different sortedness of the input of size 15'000.
s	C++ "sort" directive	HybridSort in C	HybridSort in AEC
0.0192026	2.3979	6.42487	6.97728
0.0141352	3.29584	6.42811	5.44674
0.0153353	3.4012	6.34914	6.93537
0.020136	3.21888	5.96871	5.31321
0.0188025	2.30259	6.20254	6.93537
0.0142685	3.17805	6.56948	5.90263
0.0217363	3.4012	6.34036	6.76964
0.0266702	3.17805	6.08904	5.34711
0.0216029	2.3979	6.28972	6.87523
0.0233364	3.04452	6.01372	5.22036
0.0206695	2.3979	6.15273	6.87109
0.0278704	2.99573	6.46459	5.8861
0.0266702	3.4012	6.34212	6.73934
0.0200027	3.04452	6.00389	5.20949
0.0261369	2.30259	6.17794	6.8742
0.0265368	2.99573	5.99894	5.23644
0.0342712	2.30259	6.16331	6.88653
0.0274704	3.04452	6.46147	5.93225
0.0241365	3.4012	6.32257	6.75693
0.0272037	3.3322	5.94803	5.21494
0.0288038	2.30259	6.18621	6.84694
0.0337378	2.99573	6.01127	5.22036
0.030004	2.30259	6.11589	6.91473
0.0314709	2.99573	6.46303	5.95324
0.0354714	3.43399	6.30079	6.72383
0.0361382	3.29584	5.99894	5.1985
0.0454727	2.3979	6.13988	6.9187
0.0301373	2.99573	5.96871	5.14166
0.0285372	2.30259	6.11589	6.92067
0.0401387	3.21888	6.40357	5.97126
0.0397387	3.43399	6.34036	6.73815
0.0421389	2.89037	6.24611	5.88332
0.0409387	3.43399	6.06611	6.83411
0.0454727	3.29584	5.79606	5.16479
0.04974	2.30259	6.25383	7.01661
0.052007	2.99573	6.31173	5.17615
0.0452061	2.30259	6.40523	6.80683
0.0505401	2.99573	5.93489	5.76205
0.0468062	3.29584	6.51471	6.86485
0.0481398	2.99573	6.57228	5.88888
0.0481398	3.58352	6.35957	6.77422
0.0542738	2.99573	6.23832	5.45532
0.0606748	2.3979	6.43455	7.01571
0.0537405	2.99573	6.18415	5.9162
0.055474	3.46574	6.56244	6.99577
0.0629417	2.99573	6.43775	6.05912
0.0565408	3.73767	6.44095	7.02554
0.0645419	3.09104	6.43775	5.97126
0.0537405	3.63759	6.64639	7.19893
0.0641419	3.68888	6.47235	6.1506
0.0677423	3.55535	6.42972	7.04316
0.0814775	3.09104	6.43935	5.78996
0.0724096	3.49651	6.39859	7.04229
0.0746766	3.13549	6.47697	6.06379
0.0858781	3.58352	6.54679	7.11883
0.0884118	2.99573	6.51767	6.05209
0.0910788	3.58352	6.58341	6.97448
0.0869449	2.99573	6.43775	5.98141
0.089612	3.09104	6.44413	7.01212
0.0821443	2.99573	6.42162	5.96358
0.0906788	3.43399	6.58755	6.97728
0.0917456	2.77259	6.43615	6.00635
0.100547	3.43399	6.44572	7.00307
0.094946	2.99573	6.37332	5.90263
0.0937458	3.43399	6.51471	7.01661
0.104547	2.99573	5.88888	5.30827
0.0969462	2.30259	6.14204	6.7901
0.109481	3.3322	5.8522	5.20949
0.0988132	2.30259	6.0845	6.92166
0.113082	3.09104	6.57925	5.94542
0.110681	3.43399	6.46147	7.03878
0.12375	3.21888	6.02102	5.45532
0.122816	2.30259	6.33683	6.97541
0.132018	3.04452	6.38688	6.01372
0.117082	3.4012	6.57925	7.03086
0.140019	3.2581	6.44889	6.17794
0.140419	3.55535	6.42162	7.04925
