Comparing execution time of various implementations of efficient sorting algorithms on Ubuntu for different input sizes.
n	C++ "sort" directive	MergeSort in AEC	MergeSort in ADA	MergeSort in C	QuickSort in AEC	QuickSort in ADA	QuickSort in C
100	1	630	2	0	23	4	10
200	9	39	2	1	24	1	12
300	1	38	2	8	19	9	23
400	3	40	4	2	30	2	18
500	2	23	2	1	33	2	18
600	1	28	2	11	26	2	20
700	1	27	10	1	30	2	27
800	1	30	3	5	34	2	24
900	9	32	3	3	35	2	31
1000	5	36	3	4	31	5	32
1100	7	30	13	1	37	3	41
1200	2	38	3	2	37	5	38
1300	2	38	10	1	41	8	70
1400	9	761	14	7	79	3	64
1500	12	50	13	4	73	6	55
1600	2	40	14	2	42	9	50
1700	2	51	6	2	49	19	50
1800	2	44	12	2	50	9	53
1900	3	54	4	2	55	9	60
2000	2	46	13	2	54	13	60
2100	3	55	22	10	794	16	91
2200	10	85	17	4	74	8	62
2300	6	58	13	3	61	16	63
2400	8	52	9	5	62	10	73
2500	6	51	11	8	68	13	80
2600	7	54	9	10	67	13	100
2700	9	801	13	9	108	9	136
2800	3	65	10	5	69	12	89
2900	5	63	11	3	76	22	81
3000	6	71	10	5	85	10	90
3100	5	74	10	4	80	11	134
3200	10	706	27	2	119	20	129
3300	6	72	18	3	87	7	95
3400	7	67	14	5	86	19	93
3500	7	76	20	2	85	22	101
3600	9	77	29	5	876	20	163
3700	9	80	20	2	90	17	110
3800	6	80	17	2	95	20	109
3900	8	82	14	4	92	17	109
4000	11	87	35	2	875	23	179
4100	12	84	16	3	105	14	126
4200	9	89	21	2	108	18	124
4300	6	85	25	2	107	21	170
4400	9	737	22	11	176	15	130
4500	9	87	21	12	102	19	139
4600	6	99	16	7	113	18	173
4700	15	131	36	15	1119	20	269
4800	20	120	26	14	115	19	136
4900	9	90	20	10	120	17	143
5000	8	99	22	20	880	35	204
5100	10	96	20	2	133	17	144
5200	10	104	19	3	130	20	153
5300	9	116	44	3	924	24	208
5400	10	111	19	4	136	17	158
5500	15	107	21	3	136	22	159
5600	8	919	42	10	170	21	168
5700	5	109	20	5	134	22	167
5800	9	116	19	6	138	51	180
5900	13	806	32	3	215	40	252
6000	26	170	31	9	214	36	271
6100	11	791	32	15	190	21	179
6200	12	116	21	9	143	26	182
6300	18	121	20	10	158	41	194
6400	9	776	42	12	208	22	190
6500	19	130	41	6	173	22	188
6600	18	134	46	10	941	41	218
6700	16	122	29	5	156	30	190
6800	18	132	22	11	167	48	202
6900	10	790	30	11	193	26	201
7000	18	133	22	15	167	23	201
7100	16	137	44	7	977	52	205
7200	11	137	30	11	179	30	210
7300	18	133	23	10	189	55	216
7400	10	803	35	16	208	29	207
7500	17	140	30	7	173	28	213
7600	14	159	41	23	1000	51	220
7700	15	138	35	6	181	33	217
7800	16	151	47	7	983	51	222
7900	20	140	28	12	186	34	225
8000	14	155	52	10	980	56	227
8100	12	145	29	7	190	25	225
8200	15	155	57	8	985	56	240
8300	14	147	29	7	197	29	236
8400	12	163	53	19	1006	47	237
8500	18	164	32	14	187	29	244
8600	17	165	56	8	1019	44	242
8700	15	160	29	10	206	35	240
8800	6	170	52	13	998	49	248
8900	6	157	34	7	204	35	249
9000	11	174	53	14	1004	45	258
9100	20	165	29	9	217	32	269
9200	23	958	47	19	216	38	190
9300	6	86	35	10	210	37	311
9400	19	858	57	16	213	37	260
9500	19	179	31	8	230	60	283
9600	12	856	66	11	231	35	226
9700	7	92	37	15	230	40	316
9800	18	851	68	14	238	34	160
9900	7	179	37	10	230	40	314
10000	14	858	66	17	224	42	280
10100	24	184	34	15	239	62	284
10200	8	815	55	21	245	39	147
10300	8	173	40	9	231	35	328
10400	23	870	61	16	253	38	194
10500	7	102	42	10	251	40	330
10600	18	883	66	5	244	39	295
10700	19	201	39	7	261	62	305
10800	7	845	41	18	253	29	153
10900	8	178	39	8	270	61	322
11000	18	914	33	15	258	39	163
11100	8	197	40	11	265	64	320
11200	20	903	54	10	260	40	310
11300	25	207	36	19	276	69	296
11400	8	867	61	10	270	40	332
11500	20	215	39	10	280	64	337
11600	22	928	50	12	277	49	327
11700	18	222	40	10	285	75	336
11800	21	969	42	10	270	41	332
11900	25	220	65	12	1123	40	338
12000	27	216	45	10	288	69	349
12100	20	1023	48	23	438	54	487
12200	51	1205	48	13	287	45	346
12300	20	237	60	20	1142	45	230
12400	8	142	44	12	293	43	409
12500	19	973	51	10	301	41	354
12600	19	247	75	20	1041	50	341
12700	26	237	43	19	308	70	365
12800	20	1041	49	11	300	50	360
12900	26	246	74	10	1041	44	376
13000	27	238	49	12	321	72	377
13100	26	973	49	16	323	44	380
13200	21	242	80	15	1055	50	380
13300	26	241	44	15	316	79	380
13400	32	979	43	18	199	26	187
13500	12	163	42	20	323	85	342
13600	9	905	45	16	329	46	381
13700	18	257	74	19	1042	48	250
13800	9	160	47	11	336	51	387
13900	10	920	47	17	255	24	194
14000	9	172	50	20	327	83	391
14100	26	977	53	11	331	41	200
14200	11	168	50	16	345	76	251
14300	10	924	49	10	298	26	200
14400	13	171	47	21	341	88	237
14500	11	920	49	10	341	50	406
14600	13	270	87	13	998	50	252
14700	11	183	50	20	349	91	325
14800	11	922	49	20	291	25	210
14900	11	185	54	20	366	90	415
15000	26	991	52	12	349	56	258
