Comparing the logarithm of the execution time of various implementations of efficient sorting algorithms on Ubuntu for different sortedness of the input of size 15'000.
s	C++ "sort" directive	MergeSort in AEC	MergeSort in ADA	MergeSort in C	QuickSort in AEC	QuickSort in ADA	QuickSort in C
0.0192026	3.04452	6.90174	3.8712	2.70805	5.97889	4.20469	5.37064
0.0141352	2.30259	5.52545	4.46591	2.56495	6.9187	3.89182	5.55296
0.0153353	2.30259	4.89784	3.21888	1.94591	5.38907	3.2581	5.86079
0.020136	3.3322	6.75693	3.95124	2.89037	5.70044	3.3322	5.33754
0.0188025	2.3979	4.89784	3.21888	1.94591	5.4848	4.44265	5.58725
0.0142685	2.3979	6.6695	3.97029	2.83321	5.59099	3.2581	5.49306
0.0217363	2.3979	4.92725	3.21888	1.94591	5.42053	4.45435	5.64545
0.0266702	2.30259	6.67077	3.91202	2.94444	5.69036	3.2581	5.34233
0.0216029	2.3979	4.91265	3.78419	2.77259	5.58725	4.40672	5.52146
0.0233364	2.48491	6.63595	4.04305	2.94444	5.62402	3.2581	5.34233
0.0206695	2.3979	4.89784	3.21888	1.94591	5.23111	4.52179	5.96101
0.0278704	2.3979	6.63726	4.00733	2.99573	5.5835	3.2581	5.33754
0.0266702	2.3979	4.89784	3.21888	1.94591	5.2832	4.48864	5.96358
0.0200027	2.3979	6.63068	3.98898	2.99573	5.60212	3.29584	5.33754
0.0261369	2.30259	4.90527	3.17805	1.94591	5.22036	4.33073	5.72685
0.0265368	2.30259	6.62539	3.98898	2.77259	5.62762	3.2581	5.33272
0.0342712	2.30259	4.90527	3.3322	1.94591	5.2832	4.48864	5.96358
0.0274704	2.30259	6.62141	4.07754	2.89037	5.6058	3.2581	5.34233
0.0241365	2.3979	4.89035	3.29584	1.79176	5.41165	4.45435	5.57595
0.0272037	2.30259	6.62936	4.00733	2.77259	5.6058	3.2581	5.34233
0.0288038	2.3979	4.90527	3.2581	1.94591	5.17048	4.56435	5.98645
0.0337378	2.3979	6.62936	4.00733	2.77259	5.62402	3.2581	5.33272
0.030004	2.3979	4.89035	3.29584	1.94591	5.42495	4.40672	5.9135
0.0314709	2.30259	6.62672	3.97029	2.94444	5.6204	3.2581	5.33272
0.0354714	2.3979	4.90527	3.2581	1.79176	5.35186	4.49981	5.91889
0.0361382	2.3979	6.61874	3.98898	2.48491	5.64897	3.2581	5.33754
0.0454727	2.3979	4.90527	3.29584	1.94591	5.3799	4.47734	5.9428
0.0301373	2.3979	6.63463	4.07754	2.99573	5.52146	3.2581	5.34233
0.0285372	2.30259	4.90527	3.2581	1.79176	5.37064	4.45435	5.93754
0.0401387	2.30259	6.63857	4.07754	2.99573	5.59471	3.2581	5.33754
0.0397387	2.3979	4.89784	3.21888	1.94591	5.27811	4.51086	5.63479
0.0421389	2.30259	6.62936	3.91202	2.99573	5.54908	3.2581	5.33754
0.0409387	2.30259	4.89784	3.29584	1.94591	5.22575	3.97029	5.82895
0.0454727	2.3979	6.62936	4.12713	2.89037	5.53733	3.2581	5.33272
0.04974	2.30259	4.90527	3.2581	1.79176	5.34711	4.39445	5.65249
0.052007	2.30259	6.63988	3.91202	2.99573	5.56452	3.2581	5.33272
0.0452061	2.3979	4.90527	3.2581	1.94591	5.56452	4.48864	5.52146
0.0505401	2.30259	6.62539	4.07754	3.4012	5.64897	3.21888	5.33754
0.0468062	2.30259	4.89784	3.2581	2.07944	5.38907	4.45435	5.9162
0.0481398	2.30259	6.63726	3.93183	2.99573	5.56068	3.21888	5.34711
0.0481398	2.3979	4.89035	3.2581	1.94591	5.26786	4.46591	5.97381
0.0542738	2.30259	6.63068	4.11087	2.99573	5.57215	3.2581	5.33272
0.0606748	2.3979	4.89784	3.2581	1.94591	5.52146	4.33073	5.57595
0.0537405	2.30259	6.62274	4.09434	2.99573	5.68017	3.2581	5.33754
0.055474	2.30259	4.90527	3.21888	1.79176	5.4848	4.46591	5.49717
0.0629417	2.3979	6.62407	3.95124	2.83321	5.72359	3.2581	5.33272
0.0565408	2.30259	4.90527	3.21888	1.94591	5.53733	4.45435	5.85507
0.0645419	2.3979	6.62539	3.97029	2.99573	5.63121	3.2581	5.33754
0.0537405	2.3979	4.90527	3.21888	1.79176	5.50126	4.45435	5.8861
0.0641419	2.3979	6.63068	3.89182	2.89037	5.76519	3.29584	5.34233
0.0677423	2.30259	4.91265	3.21888	1.94591	5.71703	4.2485	5.35186
0.0814775	2.3979	6.62936	3.98898	2.77259	5.59842	3.3322	5.33272
0.0724096	2.30259	4.91265	3.17805	1.94591	5.45532	4.51086	5.55296
0.0746766	2.48491	6.63068	3.91202	2.99573	5.67675	3.2581	5.33272
0.0858781	2.3979	4.95583	3.21888	1.79176	5.65948	4.40672	5.44242
0.0884118	2.30259	6.62141	4.00733	2.70805	5.71703	3.2581	5.33272
0.0910788	2.30259	4.90527	3.21888	1.94591	5.4161	4.40672	5.55683
0.0869449	2.3979	6.63332	3.93183	2.94444	5.64191	3.2581	5.32788
0.089612	2.3979	4.90527	3.21888	1.79176	5.40717	4.44265	5.60212
0.0821443	2.30259	6.62804	3.97029	2.83321	5.63121	3.2581	5.33272
0.0906788	2.3979	4.89784	3.2581	1.94591	5.273	4.41884	5.64897
0.0917456	2.3979	6.62007	3.98898	2.94444	5.64897	3.2581	5.33272
0.100547	2.30259	4.93447	3.21888	1.94591	5.50533	4.45435	5.52545
0.094946	2.3979	6.62804	3.91202	2.94444	5.69709	3.2581	5.34711
