n	AEC merge_sort to std::sort	AEC merge_sort to merge_sort_in_cpp
1000	88	29
2000	85	31
3000	78	33
4000	83	35
5000	73	34
6000	76	35
7000	78	33
8000	58	37
9000	70	36
10000	72	36
11000	73	36
12000	73	37
13000	75	37
14000	76	37
15000	77	37
16000	77	38
17000	72	38
18000	69	38
19000	70	37
20000	71	38
21000	71	38
22000	71	38
23000	72	39
24000	73	39
25000	73	39
26000	74	39
27000	74	38
28000	74	39
29000	75	39
30000	74	39
31000	75	38
32000	75	39
33000	73	39
34000	70	40
35000	68	39
36000	69	39
37000	68	38
38000	69	39
39000	67	38
40000	69	40
41000	70	40
42000	70	40
43000	70	40
44000	69	40
45000	71	40
46000	71	40
47000	72	41
48000	62	40
49000	72	41
50000	72	41
51000	72	40
52000	72	40
53000	73	40
54000	72	40
55000	73	40
56000	72	40
57000	73	40
58000	73	41
59000	71	40
60000	73	41
61000	73	41
62000	74	41
63000	74	41
64000	74	41
65000	74	41
